
Genus ID,Genus Name,Description,Family,Timestamp
1,Acer,Deciduous trees and shrubs,Aceraceae,2020-05-07 11:15:00
2,Ageratina,Aster-like plants,Asteraceae,2020-05-07 11:15:00
3,Alliaria,Biennial herbs,Brassicaceae,2020-05-07 11:15:00
4,Ambrosia,Annual and perennial herbs,Asteraceae,2020-05-07 11:15:00
5,Anthriscus,Annual and biennial herbs,Apiaceae,2020-05-07 11:15:00
6,Arundo,Perennial grasses,Poaceae,2020-05-07 11:15:00
7,Berberis,Shrubs and small trees,Berberidaceae,2020-05-07 11:15:00
8,Bromus,Grasses,Poaceae,2020-05-07 11:15:00
9,Calystegia,Vines,Convolvulaceae,2020-05-07 11:15:00
10,Centaurea,Herbs and shrubs,Asteraceae,2020-05-07 11:15:00
11,Cirsium,Herbs and shrubs,Asteraceae,2020-05-07 11:15:00
12,Convovulus,Herbs and vines,Convolvulaceae,2020-05-07 11:15:00
13,Echium,Herbs and shrubs,Boraginaceae,2020-05-07 11:15:00
14,Elaeagnus,Trees and shrubs,Elaeagnaceae,2020-05-07 11:15:00
15,Fallopia,Herbs,Polygonaceae,2020-05-07 11:15:00
16,Hedera,Vines,Araliaceae,2020-05-07 11:15:00
17,Lonicera,Vines,Caprifoliaceae,2020-05-07 11:15:00
18,Myriophyllum,Herbs,Haloragaceae,2020-05-07 11:15:00
19,Rubus,Herbs and shrubs,Rosaceae,2020-05-07 11:15:00
20,Spartina,Grasses,Poaceae,2020-05-07 11:15:00
