

Impact Data ID,Species ID,Location ID,Type of Impact,Notes,Timestamp
1,100,1,Habitat destruction,Invasive species have destroyed native habitats.,2020-04-19 10:00:00
2,101,2,Competition for resources,Invasive species compete with native species for resources.,2020-04-19 10:05:00
3,102,3,Disease vectoring,Invasive species are known to spread diseases.,2020-04-19 10:10:00
4,103,4,Predation,Invasive species can prey on native species.,2020-04-19 10:15:00
5,104,5,Altering food webs,Invasive species can alter the food web of the local ecosystem.,2020-04-19 10:20:00
6,105,6,Altering water chemistry,Invasive species can alter the water chemistry of the local ecosystem.,2020-04-19 10:25:00
7,106,7,Altering soil chemistry,Invasive species can alter the soil chemistry of the local ecosystem.,2020-04-19 10:30:00
8,107,8,Altering fire regimes,Invasive species can alter the fire regimes of the local ecosystem.,2020-04-19 10:35:00
9,108,9,Reducing biodiversity,Invasive species can reduce the biodiversity of the local ecosystem.,2020-04-19 10:40:00
10,109,10,Introducing new diseases,Invasive species can introduce new diseases to the local ecosystem.,2020-04-19 10:45:00
11,110,1,Habitat destruction,Invasive species have destroyed native habitats.,2020-04-19 10:50:00
12,111,2,Competition for resources,Invasive species compete with native species for resources.,2020-04-19 10:55:00
13,112,3,Disease vectoring,Invasive species are known to spread diseases.,2020-04-19 11:00:00
14,113,4,Predation,Invasive species can prey on native species.,2020-04-19 11:05:00
15,114,5,Altering food webs,Invasive species can alter the food web of the local ecosystem.,2020-04-19 11:10:00
16,115,6,Altering water chemistry,Invasive species can alter the water chemistry of the local ecosystem.,2020-04-19 11:15:00
17,116,7,Altering soil chemistry,Invasive species can alter the soil chemistry of the local ecosystem.,2020-04-19 11:20:00
18,117,8,Altering fire regimes,Invasive species can alter the fire regimes of the local ecosystem.,2020-04-19 11:25:00
19,118,9,Reducing biodiversity,Invasive species can reduce the biodiversity of the local ecosystem.,2020-04-19 11:30:00
20,119,10,Introducing new diseases,Invasive species can introduce new diseases to the local ecosystem.,2020-04-19 11:35:00
