
Side_Effect_ID,Side_Effect_Name,Severity,Vaccine_Administration,Timestamp
1,Headache,Low,Oral,2021-03-15 11:30:00
2,Nausea,Low,Intramuscular,2021-03-15 12:00:00
3,Fever,Medium,Intranasal,2021-03-15 12:30:00
4,Dizziness,Low,Subcutaneous,2021-03-15 13:00:00
5,Fatigue,Medium,Intramuscular,2021-03-15 13:30:00
6,Rash,Low,Oral,2021-03-15 14:00:00
7,Muscle Pain,Medium,Intranasal,2021-03-15 14:30:00
8,Sore Throat,Low,Subcutaneous,2021-03-15 15:00:00
9,Diarrhea,Medium,Intramuscular,2021-03-15 15:30:00
10,Vomiting,High,Oral,2021-03-15 16:00:00
11,Joint Pain,Medium,Intranasal,2021-03-15 16:30:00
12,Swollen Lymph Nodes,Low,Subcutaneous,2021-03-15 17:00:00
13,Insomnia,Medium,Intramuscular,2021-03-15 17:30:00
14,Itching,Low,Oral,2021-03-15 18:00:00
15,Hallucinations,High,Intranasal,2021-03-15 18:30:00
16,Seizures,High,Subcutaneous,2021-03-15 19:00:00
17,Difficulty Breathing,High,Intramuscular,2021-03-15 19:30:00
18,Vision Loss,High,Oral,2021-03-15 20:00:00
19,Chills,Medium,Intranasal,2021-03-15 20:30:00
20,Confusion,Medium,Subcutaneous,2021-03-15 21:00:00
