
Case Name,Year of Decision,Outcome,Significance to Roe v Wade,State of Origin,Timestamp
Planned Parenthood v Casey,1992,Pro-Choice,Upheld Roe v Wade,Pennsylvania,2020-08-19 10:00:00
Webster v Reproductive Health Services,1989,Anti-Choice,Restricted Roe v Wade,Missouri,2020-08-19 10:00:01
Bellotti v Baird,1979,Pro-Choice,Upheld Roe v Wade,Massachusetts,2020-08-19 10:00:02
Colautti v Franklin,1979,Pro-Choice,Upheld Roe v Wade,Pennsylvania,2020-08-19 10:00:03
Maher v Roe,1977,Pro-Choice,Upheld Roe v Wade,Connecticut,2020-08-19 10:00:04
Harris v McRae,1980,Anti-Choice,Restricted Roe v Wade,New York,2020-08-19 10:00:05
Gosnell v Kerrigan,1989,Pro-Choice,Upheld Roe v Wade,Connecticut,2020-08-19 10:00:06
 Thornburgh v American College of Obstetricians and Gynecologists,1986,Pro-Choice,Upheld Roe v Wade,Pennsylvania,2020-08-19 10:00:07
Akron v Akron Center for Reproductive Health,1983,Pro-Choice,Upheld Roe v Wade,Ohio,2020-08-19 10:00:08
Simopoulos v Virginia,1986,Pro-Choice,Upheld Roe v Wade,Virginia,2020-08-19 10:00:09
City of Akron v Akron Center for Reproductive Health,1983,Pro-Choice,Upheld Roe v Wade,Ohio,2020-08-19 10:00:10
Simopoulos v Virginia,1986,Pro-Choice,Upheld Roe v Wade,Virginia,2020-08-19 10:00:11
Planned Parenthood v Danforth,1976,Pro-Choice,Upheld Roe v Wade,Missouri,2020-08-19 10:00:12
Roe v Wade,1973,Pro-Choice,Established Right to Abortion,Texas,2020-08-19 10:00:13
Planned Parenthood v Smith,1989,Pro-Choice,Upheld Roe v Wade,Oregon,2020-08-19 10:00:14
Planned Parenthood v Casey,1992,Pro-Choice,Upheld Roe v Wade,Pennsylvania,2020-08-19 10:00:15
Rust v Sullivan,1991,Anti-Choice,Restricted Roe v Wade,New York,2020-08-19 10:00:16
Stenberg v Carhart,2000,Pro-Choice,Upheld Roe v Wade,Nebraska,2020-08-19 10:00:17
Planned Parenthood v Danforth,1976,Pro-Choice,Upheld Roe v Wade,Missouri,2020-08-19 10:00:18
Webster v Reproductive Health Services,1989,Anti-Choice,Restricted Roe v Wade,Missouri,2020-08-19 10:00:19
Gonzales v Carhart,2007,Anti-Choice,Restricted Roe v Wade,Nebraska,2020-08-19 10:00:20
