
Bill Name,Year Passed,Outcome,Significance to Roe v Wade,State,Timestamp
"Unborn Child Protection Act",1996,Passed,Modified,Ohio,1996-04-20 00:00:00
"Women's Right to Know Act",2003,Passed,Modified,Texas,2003-06-20 00:00:00
"Partial-Birth Abortion Ban Act",2003,Passed,Modified,California,2003-09-20 00:00:00
"Parental Notification Law",2004,Passed,Modified,New York,2004-05-20 00:00:00
"Fetal Pain Awareness Act",2005,Passed,Modified,Illinois,2005-08-20 00:00:00
"Abortion Restrictions Act",2006,Passed,Modified,Florida,2006-07-20 00:00:00
"Abortion Insurance Ban Act",2007,Passed,Modified,Pennsylvania,2007-06-20 00:00:00
"Abortion Clinic Regulations Act",2008,Passed,Modified,Washington,2008-05-20 00:00:00
"Abortion Waiting Period Act",2009,Passed,Modified,Oregon,2009-04-20 00:00:00
"Abortion Funding Ban Act",2010,Passed,Modified,Michigan,2010-03-20 00:00:00
"Abortion Provider Regulations Act",2011,Passed,Modified,Virginia,2011-02-20 00:00:00
"Abortion Provider Reporting Act",2012,Passed,Modified,Massachusetts,2012-01-20 00:00:00
"Abortion Clinic Licensing Act",2013,Passed,Modified,North Carolina,2013-12-20 00:00:00
"Abortion Clinic Access Act",2014,Failed,Modified,Georgia,2014-11-20 00:00:00
"Abortion Clinic Zoning Act",2015,Failed,Modified,Alabama,2015-10-20 00:00:00
"Abortion Clinic Inspection Act",2016,Failed,Modified,Missouri,2016-09-20 00:00:00
"Abortion Clinic Advertising Act",2017,Failed,Modified,Tennessee,2017-08-20 00:00:00
"Abortion Clinic Disclosure Act",2018,Failed,Modified,Louisiana,2018-07-20 00:00:00
"Abortion Clinic Tax Act",2019,Failed,Modified,Arkansas,2019-06-20 00:00:00
"Abortion Clinic Security Act",2020,Failed,Modified,Oklahoma,2020-05-20 00:00:00
