
Survey Name,Date of Poll,Percent Pro-Choice,Percent Pro-Life,Total Respondents,Timestamp
Gallup,1973-01-01,50,42,1000,1973-01-01 00:00:00
Rasmussen Reports,1982-02-02,51,37,1200,1982-02-02 00:00:00
Harris Interactive,1989-03-03,52,35,1400,1989-03-03 00:00:00
Gallup,1996-04-04,53,32,1600,1996-04-04 00:00:00
Rasmussen Reports,2003-05-05,54,30,1800,2003-05-05 00:00:00
Harris Interactive,2010-06-06,55,27,2000,2010-06-06 00:00:00
Gallup,2017-07-07,56,25,2200,2017-07-07 00:00:00
Rasmussen Reports,2024-08-08,57,23,2400,2024-08-08 00:00:00
Harris Interactive,2031-09-09,58,21,2600,2031-09-09 00:00:00
Gallup,2038-10-10,59,19,2800,2038-10-10 00:00:00
Rasmussen Reports,2045-11-11,60,17,3000,2045-11-11 00:00:00
Harris Interactive,2052-12-12,61,15,3200,2052-12-12 00:00:00
Gallup,2059-13-13,62,13,3400,2059-13-13 00:00:00
Rasmussen Reports,2066-14-14,63,11,3600,2066-14-14 00:00:00
Harris Interactive,2073-15-15,64,9,3800,2073-15-15 00:00:00
Gallup,2080-16-16,65,7,4000,2080-16-16 00:00:00
Rasmussen Reports,2087-17-17,66,5,4200,2087-17-17 00:00:00
Harris Interactive,2094-18-18,67,3,4400,2094-18-18 00:00:00
Gallup,2101-19-19,68,1,4600,2101-19-19 00:00:00
