
State Name,Population,Number of Abortions Since 1973,Abortion Rate Per 1000 People,Timestamp
Alabama,4903185,735000,14.9,2021-03-26T12:00:00
Alaska,731545,88000,12.0,2021-03-26T12:00:00
Arizona,7278717,1145000,15.7,2021-03-26T12:00:00
Arkansas,3017804,394000,13.1,2021-03-26T12:00:00
California,39512223,6000000,15.2,2021-03-26T12:00:00
Colorado,5758736,735000,12.7,2021-03-26T12:00:00
Connecticut,3565287,520000,14.6,2021-03-26T12:00:00
Delaware,973764,135000,13.8,2021-03-26T12:00:00
Florida,21477737,3200000,14.9,2021-03-26T12:00:00
Georgia,10617423,1500000,14.1,2021-03-26T12:00:00
Hawaii,1415872,170000,12.0,2021-03-26T12:00:00
Idaho,1787065,200000,11.2,2021-03-26T12:00:00
Illinois,12671821,1700000,13.3,2021-03-26T12:00:00
Indiana,6745354,830000,12.3,2021-03-26T12:00:00
Iowa,3155070,395000,12.5,2021-03-26T12:00:00
Kansas,2913314,355000,12.1,2021-03-26T12:00:00
Kentucky,4467673,620000,13.9,2021-03-26T12:00:00
Louisiana,4648794,600000,12.9,2021-03-26T12:00:00
Maine,1344212,180000,13.4,2021-03-26T12:00:00
Maryland,6045680,800000,13.2,2021-03-26T12:00:00
