
Battery Manufacturer ID,Battery Manufacturer Name,Headquarters Location,Year Founded
1,PowerCell,New York,1948
2,Energizer,St. Louis,1890
3,Duracell,Bethel,1920
4,Rayovac,Madison,1906
5,Varta,Hamburg,1889
6,Panasonic,Osaka,1917
7,LG Chem,Seoul,1947
8,Samsung SDI,Seoul,1954
9,BYD,Shenzhen,1995
10,A123 Systems,Watertown,2001
11,GS Yuasa,Kyoto,1917
12,Hitachi,Tokyo,1910
13,Toshiba,Tokyo,1875
14,Toyota,Toyota,1937
15,Maxell,Tokyo,1914
16,Sanyo,Osaka,1947
17,Exide Technologies,Milton,1912
18,EnerSys,Reading,1899
19,Johnson Controls,Milwaukee,1885
20,FIAMM,Vicenza,1936
