
Performance ID,Battery Manufacturer ID,Revenue,Cost of Goods Sold,Operating Expenses,Profit Margin,Timestamp
1,1,25000,18000,3000,20%,2020-07-01
2,1,40000,33000,4000,15%,2020-07-02
3,1,30000,25000,2000,17%,2020-07-03
4,2,35000,27000,3000,20%,2020-07-04
5,2,40000,33000,4000,15%,2020-07-05
6,2,45000,35000,3000,20%,2020-07-06
7,3,30000,25000,2000,17%,2020-07-07
8,3,35000,27000,3000,20%,2020-07-08
9,3,40000,33000,4000,15%,2020-07-09
10,4,25000,18000,3000,20%,2020-07-10
11,4,30000,25000,2000,17%,2020-07-11
12,4,35000,27000,3000,20%,2020-07-12
13,5,40000,33000,4000,15%,2020-07-13
14,5,45000,35000,3000,20%,2020-07-14
15,5,50000,40000,3000,20%,2020-07-15
16,6,25000,18000,3000,20%,2020-07-16
17,6,30000,25000,2000,17%,2020-07-17
18,6,35000,27000,3000,20%,2020-07-18
19,7,40000,33000,4000,15%,2020-07-19
20,7,45000,35000,3000,20%,2020-07-20
