
    
Market Share ID,Battery Manufacturer ID,Market Share Percentage,Timestamp
1,1,18.2,2020-06-15 12:30:00
2,2,25.6,2020-06-15 12:30:00
3,3,13.5,2020-06-15 12:30:00
4,4,14.9,2020-06-15 12:30:00
5,5,12.4,2020-06-15 12:30:00
6,1,17.3,2020-06-16 12:30:00
7,2,22.5,2020-06-16 12:30:00
8,3,15.7,2020-06-16 12:30:00
9,4,16.2,2020-06-16 12:30:00
10,5,14.3,2020-06-16 12:30:00
11,1,19.1,2020-06-17 12:30:00
12,2,24.2,2020-06-17 12:30:00
13,3,14.6,2020-06-17 12:30:00
14,4,15.4,2020-06-17 12:30:00
15,5,13.2,2020-06-17 12:30:00
16,1,18.7,2020-06-18 12:30:00
17,2,25.1,2020-06-18 12:30:00
18,3,14.1,2020-06-18 12:30:00
19,4,16.9,2020-06-18 12:30:00
20,5,13.0,2020-06-18 12:30:00
