
Neighborhood ID,Parks & Recreation Centers,Public Transportation Accessibility,Shopping & Dining Options,Timestamp
1,4,3,4,2021-04-01 00:00:00
2,2,2,2,2021-04-01 00:00:00
3,3,4,3,2021-04-01 00:00:00
4,1,1,1,2021-04-01 00:00:00
5,5,5,5,2021-04-01 00:00:00
6,2,3,4,2021-04-01 00:00:00
7,3,2,3,2021-04-01 00:00:00
8,4,4,4,2021-04-01 00:00:00
9,1,2,3,2021-04-01 00:00:00
10,2,1,2,2021-04-01 00:00:00
11,4,3,4,2021-04-01 00:00:00
12,3,4,3,2021-04-01 00:00:00
13,2,2,2,2021-04-01 00:00:00
14,1,1,1,2021-04-01 00:00:00
15,5,5,5,2021-04-01 00:00:00
16,4,3,4,2021-04-01 00:00:00
17,3,2,3,2021-04-01 00:00:00
18,2,3,4,2021-04-01 00:00:00
19,1,2,3,2021-04-01 00:00:00
20,2,1,2,2021-04-01 00:00:00
