
Neighborhood ID,Violent Crime Rate,Property Crime Rate,Total Crime Rate,Timestamp
1,0.5,2.2,2.7,2020-05-01
2,0.3,3.7,4.0,2020-05-01
3,1.2,1.3,2.5,2020-05-01
4,0.2,2.8,3.0,2020-05-01
5,0.7,3.4,4.1,2020-05-01
6,1.1,2.1,3.2,2020-05-01
7,0.4,3.1,3.5,2020-05-01
8,0.9,2.5,3.4,2020-05-01
9,0.6,2.9,3.5,2020-05-01
10,1.0,1.9,2.9,2020-05-01
11,0.5,3.6,4.1,2020-05-01
12,1.3,1.2,2.5,2020-05-01
13,0.2,2.7,2.9,2020-05-01
14,0.8,3.3,4.1,2020-05-01
15,1.2,2.0,3.2,2020-05-01
16,0.3,3.0,3.3,2020-05-01
17,0.9,2.4,3.3,2020-05-01
18,0.7,2.8,3.5,2020-05-01
19,1.1,1.8,2.9,2020-05-01
20,0.4,3.5,3.9,2020-05-01
