
Neighborhood ID,High School Degree or Equivalent,Bachelor's Degree or Higher,Graduate Degree or Higher,Timestamp
1,80%,45%,20%,2020-09-01
2,90%,60%,30%,2020-09-01
3,70%,35%,15%,2020-09-01
4,85%,50%,25%,2020-09-01
5,75%,40%,20%,2020-09-01
6,95%,70%,40%,2020-09-01
7,65%,30%,10%,2020-09-01
8,80%,45%,20%,2020-09-01
9,90%,60%,30%,2020-09-01
10,70%,35%,15%,2020-09-01
11,85%,50%,25%,2020-09-01
12,75%,40%,20%,2020-09-01
13,95%,70%,40%,2020-09-01
14,65%,30%,10%,2020-09-01
15,80%,45%,20%,2020-09-01
16,90%,60%,30%,2020-09-01
17,70%,35%,15%,2020-09-01
18,85%,50%,25%,2020-09-01
19,75%,40%,20%,2020-09-01
20,95%,70%,40%,2020-09-01
