
Neighborhood ID,Unemployment Rate,Job Growth Rate,Major Employers Listing,Timestamp
1,7.2%,1.3%,Amazon,2020-09-24T12:00:00Z
2,4.9%,2.4%,Google,2020-09-24T12:00:00Z
3,8.4%,0.9%,Microsoft,2020-09-24T12:00:00Z
4,5.6%,1.7%,Apple,2020-09-24T12:00:00Z
5,3.2%,3.2%,Facebook,2020-09-24T12:00:00Z
6,6.5%,1.5%,Walmart,2020-09-24T12:00:00Z
7,9.1%,1.2%,Costco,2020-09-24T12:00:00Z
8,4.3%,2.9%,Starbucks,2020-09-24T12:00:00Z
9,7.8%,1.8%,McDonald's,2020-09-24T12:00:00Z
10,3.7%,3.4%,Applebee's,2020-09-24T12:00:00Z
11,6.1%,1.7%,IBM,2020-09-24T12:00:00Z
12,8.9%,1.1%,Intel,2020-09-24T12:00:00Z
13,5.2%,2.4%,Target,2020-09-24T12:00:00Z
14,2.8%,3.7%,Home Depot,2020-09-24T12:00:00Z
15,7.4%,1.4%,Lowe's,2020-09-24T12:00:00Z
16,4.6%,2.6%,Dell,2020-09-24T12:00:00Z
17,9.3%,1.0%,KFC,2020-09-24T12:00:00Z
18,3.4%,3.5%,Sony,2020-09-24T12:00:00Z
19,6.3%,1.6%,Best Buy,2020-09-24T12:00:00Z
20,8.6%,1.2%,Taco Bell,2020-09-24T12:00:00Z
