
Neighborhood ID,Air Quality Index,Water Quality Index,Noise Pollution Level,Timestamp
1,20,75,85,2020-05-01T10:00:00
2,45,90,90,2020-05-01T12:00:00
3,10,50,80,2020-05-01T14:00:00
4,30,85,95,2020-05-01T16:00:00
5,25,60,75,2020-05-01T18:00:00
6,35,70,90,2020-05-01T20:00:00
7,15,80,85,2020-05-01T22:00:00
8,20,90,100,2020-05-02T00:00:00
9,50,65,80,2020-05-02T02:00:00
10,40,75,95,2020-05-02T04:00:00
11,30,50,85,2020-05-02T06:00:00
12,25,90,90,2020-05-02T08:00:00
13,10,85,75,2020-05-02T10:00:00
14,45,60,100,2020-05-02T12:00:00
15,20,70,80,2020-05-02T14:00:00
16,35,75,95,2020-05-02T16:00:00
17,15,50,90,2020-05-02T18:00:00
18,50,80,75,2020-05-02T20:00:00
19,40,90,85,2020-05-02T22:00:00
20,30,65,100,2020-05-03T00:00:00
