
availability_id,station_id,availability_status,timestamp
1,1,Available,2020-09-01T12:00:00
2,2,Unavailable,2020-09-01T13:00:00
3,3,Available,2020-09-01T14:00:00
4,4,Unavailable,2020-09-01T15:00:00
5,5,Available,2020-09-01T16:00:00
6,6,Unavailable,2020-09-01T17:00:00
7,7,Available,2020-09-01T18:00:00
8,8,Unavailable,2020-09-01T19:00:00
9,9,Available,2020-09-01T20:00:00
10,10,Unavailable,2020-09-01T21:00:00
11,11,Available,2020-09-01T22:00:00
12,12,Unavailable,2020-09-01T23:00:00
13,13,Available,2020-09-02T00:00:00
14,14,Unavailable,2020-09-02T01:00:00
15,15,Available,2020-09-02T02:00:00
16,16,Unavailable,2020-09-02T03:00:00
17,17,Available,2020-09-02T04:00:00
18,18,Unavailable,2020-09-02T05:00:00
19,19,Available,2020-09-02T06:00:00
20,20,Unavailable,2020-09-02T07:00:00
