
feature_id,station_id,ports_available,plug_types_supported,timestamp
1,1,4,Type 1/Type 2/Type 3,2020-07-01 08:00:00
2,2,2,Type 2/Type 3,2020-07-01 08:30:00
3,3,6,Type 1/Type 2/Type 3/CHAdeMO,2020-07-01 09:00:00
4,4,4,Type 1/Type 2/CHAdeMO,2020-07-01 09:30:00
5,5,2,Type 1/Type 2,2020-07-01 10:00:00
6,6,8,Type 1/Type 2/Type 3/CHAdeMO/CCS,2020-07-01 10:30:00
7,7,4,Type 2/Type 3/CHAdeMO/CCS,2020-07-01 11:00:00
8,8,2,Type 1/Type 2,2020-07-01 11:30:00
9,9,6,Type 1/Type 2/Type 3/CHAdeMO/CCS,2020-07-01 12:00:00
10,10,4,Type 1/Type 2/CHAdeMO,2020-07-01 12:30:00
11,11,2,Type 1/Type 2,2020-07-01 13:00:00
12,12,8,Type 1/Type 2/Type 3/CHAdeMO/CCS,2020-07-01 13:30:00
13,13,4,Type 2/Type 3/CHAdeMO/CCS,2020-07-01 14:00:00
14,14,2,Type 1/Type 2,2020-07-01 14:30:00
15,15,6,Type 1/Type 2/Type 3/CHAdeMO/CCS,2020-07-01 15:00:00
16,16,4,Type 1/Type 2/CHAdeMO,2020-07-01 15:30:00
17,17,2,Type 1/Type 2,2020-07-01 16:00:00
18,18,8,Type 1/Type 2/Type 3/CHAdeMO/CCS,2020-07-01 16:30:00
19,19,4,Type 2/Type 3/CHAdeMO/CCS,2020-07-01 17:00:00
20,20,2,Type 1/Type 2,2020-07-01 17:30:00
