
station_id,latitude,longitude,address,city,state/province,country,postal_code,timestamp
1,40.717072,-73.996444,20 W 34th St,New York,NY,United States,10001,2020-06-01 12:00:00
2,51.505064,-0.127144,1-3 Regent St,London,England,United Kingdom,SW1Y 4LR,2020-06-02 12:00:00
3,48.858374,2.294481,5 Rue de l'Arcade,Paris,Île-de-France,France,75008,2020-06-03 12:00:00
4,41.387581,2.170044,Carrer de Mallorca,Barcelona,Catalonia,Spain,08008,2020-06-04 12:00:00
5,35.682839,139.759454,1-3-3 Ginza,Tokyo,Tokyo,Japan,104-0061,2020-06-05 12:00:00
6,52.373747,4.897976,Oosterdokskade,Amsterdam,North Holland,Netherlands,1011 DK,2020-06-06 12:00:00
7,-33.868820,151.209290,1 Macquarie Pl,Sydney,New South Wales,Australia,2000,2020-06-07 12:00:00
8,52.520008,13.404954,Unter den Linden,Berlin,Berlin,Germany,10117,2020-06-08 12:00:00
9,45.508837, -73.557850,1450 Rue Peel,Montreal,Quebec,Canada,H3A 3T3,2020-06-09 12:00:00
10,-22.906847,-43.172896,Av. Atlântica,Rio de Janeiro,Rio de Janeiro,Brazil,22070-001,2020-06-10 12:00:00
11,30.044419,31.235712,Corniche El Nile,Cairo,Cairo Governorate,Egypt,11511,2020-06-11 12:00:00
12,19.432630,-99.133170,Av. Paseo de la Reforma,Mexico City,Federal District,Mexico,06500,2020-06-12 12:00:00
13,55.755826,37.617300,Tverskaya St,Moscow,Moscow,Russia,125009,2020-06-13 12:00:00
14,40.416705,-3.703582,Calle de Alcalá,Madrid,Madrid,Spain,28014,2020-06-14 12:00:00
15,25.204849,55.270783,Sheikh Zayed Rd,Dubai,Dubai,United Arab Emirates,P.O. Box 113737,2020-06-15 12:00:00
16,37.566535,126.977969,Gangnam-gu,Seoul,Seoul,South Korea,06164,2020-06-16 12:00:00
17,19.076090,72.877426,Dr Annie Besant Rd,Mumbai,Maharashtra,India,400018,2020-06-17 12:00:00
18,-1.283330,36.816666,University Way,Nairobi,Nairobi County,Kenya,00100,2020-06-18 12:00:00
19,41.008238,28.978359,Istiklal Avenue,Istanbul,Istanbul,Turkey,34433,2020-06-19 12:00:00
20,4.899431,31.572909,Juba-Nimule Rd,Juba,Central Equatoria,South Sudan,NA,2020-06-20 12:00:00
