

pricing_id,station_id,price_per_hour,timestamp
1,1,2.50,2020-03-01 12:00:00
2,2,3.25,2020-03-02 12:00:00
3,3,5.00,2020-03-03 12:00:00
4,4,3.75,2020-03-04 12:00:00
5,5,4.50,2020-03-05 12:00:00
6,6,2.00,2020-03-06 12:00:00
7,7,3.00,2020-03-07 12:00:00
8,8,4.00,2020-03-08 12:00:00
9,9,1.50,2020-03-09 12:00:00
10,10,2.75,2020-03-10 12:00:00
11,1,3.00,2020-03-11 12:00:00
12,2,4.00,2020-03-12 12:00:00
13,3,2.50,2020-03-13 12:00:00
14,4,3.25,2020-03-14 12:00:00
15,5,5.00,2020-03-15 12:00:00
16,6,3.75,2020-03-16 12:00:00
17,7,4.50,2020-03-17 12:00:00
18,8,2.00,2020-03-18 12:00:00
19,9,3.00,2020-03-19 12:00:00
20,10,4.00,2020-03-20 12:00:00
