
Order Number,Driver ID,Vehicle ID,Route ID,Actual Travel Time,Actual Fuel Cost Used,Timestamps
1,1001,5001,3001,2.5,50.00,2020-09-01 12:00:00
2,1002,5002,3002,3.4,60.00,2020-09-02 13:00:00
3,1003,5003,3003,4.3,70.00,2020-09-03 14:00:00
4,1004,5004,3004,5.2,80.00,2020-09-04 15:00:00
5,1005,5005,3005,6.1,90.00,2020-09-05 16:00:00
6,1006,5006,3006,7.0,100.00,2020-09-06 17:00:00
7,1007,5007,3007,7.9,110.00,2020-09-07 18:00:00
8,1008,5008,3008,8.8,120.00,2020-09-08 19:00:00
9,1009,5009,3009,9.7,130.00,2020-09-09 20:00:00
10,1010,5010,3010,10.6,140.00,2020-09-10 21:00:00
11,1011,5011,3011,11.5,150.00,2020-09-11 22:00:00
12,1012,5012,3012,12.4,160.00,2020-09-12 23:00:00
13,1013,5013,3013,13.3,170.00,2020-09-13 00:00:00
14,1014,5014,3014,14.2,180.00,2020-09-14 01:00:00
15,1015,5015,3015,15.1,190.00,2020-09-15 02:00:00
16,1016,5016,3016,16.0,200.00,2020-09-16 03:00:00
17,1017,5017,3017,16.9,210.00,2020-09-17 04:00:00
18,1018,5018,3018,17.8,220.00,2020-09-18 05:00:00
19,1019,5019,3019,18.7,230.00,2020-09-19 06:00:00
20,1020,5020,3020,19.6,240.00,2020-09-20 07:00:00
