
Interaction ID,Participant 1,Participant 2,Nature of Interaction,TimeStamp
1,P1,P2,Friendly,2020-06-01 10:00:00
2,P3,P4,Friendly,2020-06-01 10:15:00
3,P5,P6,Hostile,2020-06-01 10:30:00
4,P7,P8,Friendly,2020-06-01 10:45:00
5,P9,P10,Hostile,2020-06-01 11:00:00
6,P11,P12,Friendly,2020-06-01 11:15:00
7,P13,P14,Hostile,2020-06-01 11:30:00
8,P15,P16,Friendly,2020-06-01 11:45:00
9,P17,P18,Hostile,2020-06-01 12:00:00
10,P19,P20,Friendly,2020-06-01 12:15:00
11,P1,P3,Hostile,2020-06-01 12:30:00
12,P4,P5,Friendly,2020-06-01 12:45:00
13,P6,P7,Hostile,2020-06-01 13:00:00
14,P8,P9,Friendly,2020-06-01 13:15:00
15,P10,P11,Hostile,2020-06-01 13:30:00
16,P12,P13,Friendly,2020-06-01 13:45:00
17,P14,P15,Hostile,2020-06-01 14:00:00
18,P16,P17,Friendly,2020-06-01 14:15:00
19,P18,P19,Hostile,2020-06-01 14:30:00
20,P20,P1,Friendly,2020-06-01 14:45:00
