
Protestor ID,Latitude,Longitude,TimeStamp
1,33.735, -118.39,2020-03-01 15:00:00
2,33.738, -118.38,2020-03-01 15:15:00
3,33.732, -118.38,2020-03-01 15:30:00
4,33.735, -118.37,2020-03-01 15:45:00
5,33.732, -118.39,2020-03-01 16:00:00
6,33.731, -118.38,2020-03-01 16:15:00
7,33.737, -118.37,2020-03-01 16:30:00
8,33.735, -118.39,2020-03-01 16:45:00
9,33.734, -118.38,2020-03-01 17:00:00
10,33.737, -118.37,2020-03-01 17:15:00
11,33.732, -118.39,2020-03-01 17:30:00
12,33.736, -118.38,2020-03-01 17:45:00
13,33.731, -118.37,2020-03-01 18:00:00
14,33.735, -118.39,2020-03-01 18:15:00
15,33.738, -118.38,2020-03-01 18:30:00
16,33.732, -118.37,2020-03-01 18:45:00
17,33.737, -118.39,2020-03-01 19:00:00
18,33.734, -118.38,2020-03-01 19:15:00
19,33.731, -118.37,2020-03-01 19:30:00
20,33.735, -118.39,2020-03-01 19:45:00
