
Protest ID,Location,Date and Time,Type of Protest,Number of Participants,TimeStamp
1,New York City,7/4/2020 12:00PM,Peaceful,1000,1593887600
2,Los Angeles,7/5/2020 10:00AM,Peaceful,500,1593973600
3,Washington D.C.,7/6/2020 4:00PM,Peaceful,10000,1594059600
4,San Francisco,7/7/2020 11:00AM,Violent,100,1594146000
5,Chicago,7/8/2020 8:00AM,Peaceful,2000,1594232000
6,Boston,7/9/2020 12:00PM,Violent,500,1594318400
7,Denver,7/10/2020 5:00PM,Peaceful,3000,1594404800
8,Austin,7/11/2020 3:00PM,Violent,200,1594491200
9,Philadelphia,7/12/2020 9:00AM,Peaceful,5000,1594577600
10,Seattle,7/13/2020 6:00PM,Violent,1000,1594663600
11,Las Vegas,7/14/2020 1:00PM,Peaceful,3000,1594750000
12,Portland,7/15/2020 10:00AM,Violent,100,1594836400
13,Miami,7/16/2020 7:00PM,Peaceful,2000,1594922400
14,Atlanta,7/17/2020 4:00PM,Violent,500,1595008800
15,Honolulu,7/18/2020 11:00AM,Peaceful,1000,1595095200
16,New Orleans,7/19/2020 8:00AM,Violent,200,1595181600
17,Detroit,7/20/2020 12:00PM,Peaceful,3000,1595268000
18,St. Louis,7/21/2020 5:00PM,Violent,100,1595354400
19,Kansas City,7/22/2020 3:00PM,Peaceful,2000,1595440800
20,Cleveland,7/23/2020 9:00AM,Violent,500,1595527200
