
Delivery_Log_ID,Supplier_ID,Retailer_ID,Delivery_Date/Time,Status,Timestamp
1,10,20,2020-07-01 09:00:00,Delivered,2020-07-01 10:00:00
2,10,21,2020-07-02 10:30:00,In Transit,2020-07-02 11:00:00
3,11,22,2020-07-03 11:45:00,Delivered,2020-07-03 12:30:00
4,11,23,2020-07-04 12:15:00,Delayed,2020-07-04 13:00:00
5,12,24,2020-07-05 13:30:00,In Transit,2020-07-05 14:00:00
6,12,25,2020-07-06 14:45:00,Delivered,2020-07-06 15:30:00
7,13,26,2020-07-07 15:15:00,Delayed,2020-07-07 16:00:00
8,13,27,2020-07-08 16:30:00,Delivered,2020-07-08 17:00:00
9,14,28,2020-07-09 17:45:00,In Transit,2020-07-09 18:00:00
10,14,29,2020-07-10 18:15:00,Delayed,2020-07-10 19:00:00
11,15,30,2020-07-11 19:30:00,Delivered,2020-07-11 20:00:00
12,15,31,2020-07-12 20:45:00,In Transit,2020-07-12 21:00:00
13,16,32,2020-07-13 21:15:00,Delivered,2020-07-13 22:00:00
14,16,33,2020-07-14 22:30:00,Delayed,2020-07-14 23:00:00
15,17,34,2020-07-15 23:45:00,In Transit,2020-07-16 00:00:00
16,17,35,2020-07-16 00:15:00,Delivered,2020-07-16 01:00:00
17,18,36,2020-07-17 01:30:00,Delayed,2020-07-17 02:00:00
18,18,37,2020-07-18 02:45:00,In Transit,2020-07-18 03:00:00
19,19,38,2020-07-19 03:15:00,Delivered,2020-07-19 04:00:00
20,19,39,2020-07-20 04:30:00,Delayed,2020-07-20 05:00:00
