
Inventory_ID,Product_ID,Supplier_ID,Quantity,Location,Timestamp
1,101,201,8,"Warehouse A","2020-09-02 10:00:00"
2,102,202,12,"Warehouse B","2020-09-03 11:00:00"
3,103,203,5,"Warehouse C","2020-09-04 12:00:00"
4,104,204,14,"Warehouse A","2020-09-05 13:00:00"
5,105,205,9,"Warehouse B","2020-09-06 14:00:00"
6,106,206,6,"Warehouse C","2020-09-07 15:00:00"
7,107,207,10,"Warehouse A","2020-09-08 16:00:00"
8,108,208,20,"Warehouse B","2020-09-09 17:00:00"
9,109,209,4,"Warehouse C","2020-09-10 18:00:00"
10,110,210,11,"Warehouse A","2020-09-11 19:00:00"
11,111,211,7,"Warehouse B","2020-09-12 20:00:00"
12,112,212,13,"Warehouse C","2020-09-13 21:00:00"
13,113,213,15,"Warehouse A","2020-09-14 22:00:00"
14,114,214,17,"Warehouse B","2020-09-15 23:00:00"
15,115,215,18,"Warehouse C","2020-09-16 00:00:00"
16,116,216,19,"Warehouse A","2020-09-17 01:00:00"
17,117,217,2,"Warehouse B","2020-09-18 02:00:00"
18,118,218,3,"Warehouse C","2020-09-19 03:00:00"
19,119,219,16,"Warehouse A","2020-09-20 04:00:00"
20,120,220,1,"Warehouse B","2020-09-21 05:00:00"
