
Order_ID,Customer_ID,Product_ID,Quantity,Status,Timestamp
1,11,101,2,Placed,2021-03-01 10:00:00
2,12,102,1,Shipped,2021-03-02 11:00:00
3,13,103,5,Delivered,2021-03-03 12:00:00
4,14,104,3,Cancelled,2021-03-04 13:00:00
5,15,105,4,Placed,2021-03-05 14:00:00
6,11,106,2,Shipped,2021-03-06 15:00:00
7,12,107,1,Delivered,2021-03-07 16:00:00
8,13,108,5,Cancelled,2021-03-08 17:00:00
9,14,109,3,Placed,2021-03-09 18:00:00
10,15,110,4,Shipped,2021-03-10 19:00:00
11,11,111,2,Delivered,2021-03-11 20:00:00
12,12,112,1,Cancelled,2021-03-12 21:00:00
13,13,113,5,Placed,2021-03-13 22:00:00
14,14,114,3,Shipped,2021-03-14 23:00:00
15,15,115,4,Delivered,2021-03-15 00:00:00
16,11,116,2,Cancelled,2021-03-16 01:00:00
17,12,117,1,Placed,2021-03-17 02:00:00
18,13,118,5,Shipped,2021-03-18 03:00:00
19,14,119,3,Delivered,2021-03-19 04:00:00
20,15,120,4,Cancelled,2021-03-20 05:00:00
