

Retailer_ID,Name,Address,Phone Number,Website URL,Timestamp
1,Urban Outfitters,1664 Broadway,(212) 541-8100,www.urbanoutfitters.com,2019-08-15 15:23:45
2,Target,1800 2nd Ave,(206) 441-3400,www.target.com,2019-08-15 15:23:45
3,Walmart,1425 Broadway,(212) 564-3200,www.walmart.com,2019-08-15 15:23:45
4,Kohl's,1450 Broadway,(212) 564-6100,www.kohls.com,2019-08-15 15:23:45
5,Best Buy,1801 2nd Ave,(206) 441-4500,www.bestbuy.com,2019-08-15 15:23:45
6,Macy's,1501 Broadway,(212) 564-7100,www.macys.com,2019-08-15 15:23:45
7,JCPenney,1601 Broadway,(212) 564-8100,www.jcpenney.com,2019-08-15 15:23:45
8,Nordstrom,1701 Broadway,(212) 564-9100,www.nordstrom.com,2019-08-15 15:23:45
9,Sears,1802 2nd Ave,(206) 441-5500,www.sears.com,2019-08-15 15:23:45
10,Bed Bath & Beyond,1451 Broadway,(212) 564-1100,www.bedbathandbeyond.com,2019-08-15 15:23:45
11,Costco,1602 Broadway,(212) 564-2100,www.costco.com,2019-08-15 15:23:45
12,Kmart,1803 2nd Ave,(206) 441-6500,www.kmart.com,2019-08-15 15:23:45
13,Home Depot,1552 Broadway,(212) 564-3100,www.homedepot.com,2019-08-15 15:23:45
14,Marshalls,1653 Broadway,(212) 541-9100,www.marshalls.com,2019-08-15 15:23:45
15,Dillard's,1702 Broadway,(212) 564-4100,www.dillards.com,2019-08-15 15:23:45
16,Old Navy,1804 2nd Ave,(206) 441-7500,www.oldnavy.com,2019-08-15 15:23:45
17,TJ Maxx,1452 Broadway,(212) 564-5100,www.tjmaxx.com,2019-08-15 15:23:45
18,Ross,1604 Broadway,(212) 541-1010,www.rossstores.com,2019-08-15 15:23:45
19,Burlington,1703 Broadway,(212) 564-5200,www.burlington.com,2019-08-15 15:23:45
20,H&M,1805 2nd Ave,(206) 441-8500,www.hm.com,2019-08-15 15:23:45
