
Brand ID,Advertising Channel Used,Campaign Start Date,Campaign End Date,Total Cost of Campaign,Reach of Campaign,Date of Data Collection,Time of Data Collection
1,TV,1/1/2020,1/31/2020,$50000,20000,2/1/2020,2:00 PM
2,Radio,2/1/2020,2/29/2020,$70000,30000,3/1/2020,3:00 PM
3,Print,3/1/2020,3/31/2020,$20000,15000,4/1/2020,4:00 PM
4,Social Media,4/1/2020,4/30/2020,$30000,25000,5/1/2020,5:00 PM
5,Outdoor,5/1/2020,5/31/2020,$40000,40000,6/1/2020,6:00 PM
6,TV,6/1/2020,6/30/2020,$25000,10000,7/1/2020,7:00 PM
7,Radio,7/1/2020,7/31/2020,$35000,20000,8/1/2020,8:00 PM
8,Print,8/1/2020,8/31/2020,$10000,5000,9/1/2020,9:00 PM
9,Social Media,9/1/2020,9/30/2020,$20000,15000,10/1/2020,10:00 PM
10,Outdoor,10/1/2020,10/31/2020,$30000,25000,11/1/2020,11:00 PM
11,TV,11/1/2020,11/30/2020,$40000,40000,12/1/2020,12:00 PM
12,Radio,12/1/2020,12/31/2020,$25000,10000,1/1/2021,1:00 PM
13,Print,1/1/2021,1/31/2021,$35000,20000,2/1/2021,2:00 PM
14,Social Media,2/1/2021,2/28/2021,$10000,5000,3/1/2021,3:00 PM
15,Outdoor,3/1/2021,3/31/2021,$20000,15000,4/1/2021,4:00 PM
16,TV,4/1/2021,4/30/2021,$30000,25000,5/1/2021,5:00 PM
17,Radio,5/1/2021,5/31/2021,$40000,40000,6/1/2021,6:00 PM
18,Print,6/1/2021,6/30/2021,$25000,10000,7/1/2021,7:00 PM
19,Social Media,7/1/2021,7/31/2021,$35000,20000,8/1/2021,8:00 PM
20,Outdoor,8/1/2021,8/31/2021,$10000,5000,9/1/2021,9:00 PM
