
Brand ID,Total Sales,Customer Retention Rate,Date of Data Collection,Time of Data Collection
1,1000,0.75,1/1/2020,10:00
2,2000,0.90,1/2/2020,11:00
3,1500,0.85,1/3/2020,12:00
4,3000,0.95,1/4/2020,13:00
5,2500,0.80,1/5/2020,14:00
6,4000,0.90,1/6/2020,15:00
7,3500,0.85,1/7/2020,16:00
8,4500,0.95,1/8/2020,17:00
9,3000,0.70,1/9/2020,18:00
10,5000,0.80,1/10/2020,19:00
11,5500,0.90,1/11/2020,20:00
12,6000,0.95,1/12/2020,21:00
13,6500,0.75,1/13/2020,22:00
14,7000,0.80,1/14/2020,23:00
15,7500,0.90,1/15/2020,00:00
16,8000,0.95,1/16/2020,01:00
17,8500,0.70,1/17/2020,02:00
18,9000,0.80,1/18/2020,03:00
19,9500,0.90,1/19/2020,04:00
20,10000,0.95,1/20/2020,05:00
