
Brand ID,Brand Recognition Score,Customer Loyalty Score,Overall Sentiment Score,Date of Data Collection,Time of Data Collection
1,9.5,7.5,8.5,7/1/2020,10:00
2,7.0,9.0,8.0,7/2/2020,11:00
3,8.5,7.0,7.5,7/3/2020,12:00
4,6.5,8.5,7.0,7/4/2020,13:00
5,9.0,6.0,7.5,7/5/2020,14:00
6,7.0,9.5,8.0,7/6/2020,15:00
7,8.5,7.5,8.5,7/7/2020,16:00
8,6.0,8.0,7.0,7/8/2020,17:00
9,9.0,6.5,8.0,7/9/2020,18:00
10,7.5,9.0,7.5,7/10/2020,19:00
11,8.5,7.0,7.5,7/11/2020,20:00
12,6.0,8.5,7.0,7/12/2020,21:00
13,9.0,6.0,7.5,7/13/2020,22:00
14,7.5,9.5,8.0,7/14/2020,23:00
15,8.0,7.5,8.5,7/15/2020,00:00
16,6.5,8.0,7.0,7/16/2020,01:00
17,9.0,6.5,8.0,7/17/2020,02:00
18,7.0,9.0,7.5,7/18/2020,03:00
19,8.5,7.0,7.5,7/19/2020,04:00
20,6.0,8.5,7.0,7/20/2020,05:00
