
Brand ID,Competitor Name(s),Competitor Metrics Compared,Comparison Results Summary/Analysis Text/Description,Date of Data Collection,Time of Data Collection
1,Competitor A,Brand Recognition Score,Our brand recognition score was 5% higher than Competitor A's score,10/15/2020,11:00 AM
2,Competitor B,Brand Recognition Score,Our brand recognition score was 3% lower than Competitor B's score,10/15/2020,11:30 AM
3,Competitor C,Brand Recognition Score,Our brand recognition score was equal to Competitor C's score,10/15/2020,12:00 PM
4,Competitor A,Customer Loyalty Score,Our customer loyalty score was 2% higher than Competitor A's score,10/15/2020,12:30 PM
5,Competitor B,Customer Loyalty Score,Our customer loyalty score was 1% lower than Competitor B's score,10/15/2020,1:00 PM
6,Competitor C,Customer Loyalty Score,Our customer loyalty score was 6% higher than Competitor C's score,10/15/2020,1:30 PM
7,Competitor A,Market Share Percentage,Our market share percentage was 5% higher than Competitor A's percentage,10/15/2020,2:00 PM
8,Competitor B,Market Share Percentage,Our market share percentage was 8% lower than Competitor B's percentage,10/15/2020,2:30 PM
9,Competitor C,Market Share Percentage,Our market share percentage was 1% lower than Competitor C's percentage,10/15/2020,3:00 PM
10,Competitor A,Average Price Point,Our average price point was 3% lower than Competitor A's average price point,10/15/2020,3:30 PM
11,Competitor B,Average Price Point,Our average price point was 2% higher than Competitor B's average price point,10/15/2020,4:00 PM
12,Competitor C,Average Price Point,Our average price point was 1% lower than Competitor C's average price point,10/15/2020,4:30 PM
13,Competitor A,Product Quality Rating,Our product quality rating was 7% higher than Competitor A's rating,10/15/2020,5:00 PM
14,Competitor B,Product Quality Rating,Our product quality rating was 4% lower than Competitor B's rating,10/15/2020,5:30 PM
15,Competitor C,Product Quality Rating,Our product quality rating was equal to Competitor C's rating,10/15/2020,6:00 PM
16,Competitor A,Customer Service Rating,Our customer service rating was 9% higher than Competitor A's rating,10/15/2020,6:30 PM
17,Competitor B,Customer Service Rating,Our customer service rating was 6% lower than Competitor B's rating,10/15/2020,7:00 PM
18,Competitor C,Customer Service Rating,Our customer service rating was 2% higher than Competitor C's rating,10/15/2020,7:30 PM
19,Competitor A,Brand Awareness Score,Our brand awareness score was 4% higher than Competitor A's score,10/15/2020,8:00 PM
20,Competitor B,Brand Awareness Score,Our brand awareness score was 1% lower than Competitor B's score,10/15/2020,8:30 PM
