
Brand ID,Platform,Number of Followers/Likes/Shares/Comments/Impressions/Engagement Rate,Date of Data Collection,Time of Data Collection
1,Facebook,1000,2020-01-01,12:00
2,Twitter,500,2020-01-01,12:00
3,Instagram,2000,2020-01-01,12:00
4,Facebook,1300,2020-01-02,14:00
5,Twitter,700,2020-01-02,14:00
6,Instagram,2200,2020-01-02,14:00
7,Facebook,1500,2020-01-03,16:00
8,Twitter,900,2020-01-03,16:00
9,Instagram,2500,2020-01-03,16:00
10,Facebook,1800,2020-01-04,18:00
11,Twitter,1000,2020-01-04,18:00
12,Instagram,3000,2020-01-04,18:00
13,Facebook,2000,2020-01-05,20:00
14,Twitter,1200,2020-01-05,20:00
15,Instagram,3500,2020-01-05,20:00
16,Facebook,2500,2020-01-06,22:00
17,Twitter,1500,2020-01-06,22:00
18,Instagram,4000,2020-01-06,22:00
19,Facebook,3000,2020-01-07,00:00
20,Twitter,2000,2020-01-07,00:00
