
feature_rating_id,user_id,feature_id,rating,created_at,updated_at
1,1,1,4.5,2020-01-01 12:00:00,2020-01-01 12:00:00
2,2,2,2.5,2020-01-02 12:00:00,2020-01-02 12:00:00
3,3,3,3.5,2020-01-03 12:00:00,2020-01-03 12:00:00
4,4,4,4.0,2020-01-04 12:00:00,2020-01-04 12:00:00
5,5,5,2.0,2020-01-05 12:00:00,2020-01-05 12:00:00
6,6,6,3.0,2020-01-06 12:00:00,2020-01-06 12:00:00
7,7,7,4.0,2020-01-07 12:00:00,2020-01-07 12:00:00
8,8,8,3.5,2020-01-08 12:00:00,2020-01-08 12:00:00
9,9,9,2.5,2020-01-09 12:00:00,2020-01-09 12:00:00
10,10,10,4.0,2020-01-10 12:00:00,2020-01-10 12:00:00
11,11,11,3.0,2020-01-11 12:00:00,2020-01-11 12:00:00
12,12,12,2.5,2020-01-12 12:00:00,2020-01-12 12:00:00
13,13,13,4.5,2020-01-13 12:00:00,2020-01-13 12:00:00
14,14,14,2.0,2020-01-14 12:00:00,2020-01-14 12:00:00
15,15,15,3.5,2020-01-15 12:00:00,2020-01-15 12:00:00
16,16,16,2.5,2020-01-16 12:00:00,2020-01-16 12:00:00
17,17,17,4.0,2020-01-17 12:00:00,2020-01-17 12:00:00
18,18,18,3.0,2020-01-18 12:00:00,2020-01-18 12:00:00
19,19,19,2.0,2020-01-19 12:00:00,2020-01-19 12:00:00
20,20,20,4.5,2020-01-20 12:00:00,2020-01-20 12:00:00
