
model_id,model_name,operating_system,release_date,price,created_at,updated_at
1,Galaxy S10,Android,2019-03-08,799.99,2020-07-20 09:00:00,2020-07-20 09:00:00
2,Galaxy S20,Android,2020-02-11,999.99,2020-07-20 09:00:00,2020-07-20 09:00:00
3,Galaxy S20 Ultra,Android,2020-02-11,1399.99,2020-07-20 09:00:00,2020-07-20 09:00:00
4,Galaxy Note 10,Android,2019-08-23,949.99,2020-07-20 09:00:00,2020-07-20 09:00:00
5,Galaxy Note 10 Plus,Android,2019-08-23,1099.99,2020-07-20 09:00:00,2020-07-20 09:00:00
6,Galaxy Note 20,Android,2020-08-05,1099.99,2020-07-20 09:00:00,2020-07-20 09:00:00
7,Galaxy Note 20 Ultra,Android,2020-08-05,1399.99,2020-07-20 09:00:00,2020-07-20 09:00:00
8,Galaxy A51,Android,2020-01-02,399.99,2020-07-20 09:00:00,2020-07-20 09:00:00
9,Galaxy A71,Android,2020-01-02,499.99,2020-07-20 09:00:00,2020-07-20 09:00:00
10,Galaxy Z Flip,Android,2020-02-14,1399.99,2020-07-20 09:00:00,2020-07-20 09:00:00
11,Galaxy Fold,Android,2019-09-06,1999.99,2020-07-20 09:00:00,2020-07-20 09:00:00
12,Galaxy S10 Lite,Android,2020-01-31,649.99,2020-07-20 09:00:00,2020-07-20 09:00:00
13,Galaxy A10s,Android,2019-08-12,179.99,2020-07-20 09:00:00,2020-07-20 09:00:00
14,Galaxy A20s,Android,2019-08-12,249.99,2020-07-20 09:00:00,2020-07-20 09:00:00
15,Galaxy A30s,Android,2019-08-12,299.99,2020-07-20 09:00:00,2020-07-20 09:00:00
16,Galaxy A50s,Android,2019-08-12,349.99,2020-07-20 09:00:00,2020-07-20 09:00:00
17,Galaxy A70s,Android,2019-08-12,449.99,2020-07-20 09:00:00,2020-07-20 09:00:00
18,Galaxy A80,Android,2019-05-29,649.99,2020-07-20 09:00:00,2020-07-20 09:00:00
19,Galaxy A90,Android,2019-09-03,699.99,2020-07-20 09:00:00,2020-07-20 09:00:00
20,Galaxy S20 FE,Android,2020-09-23,699.99,2020-07-20 09:00:00,2020-07-20 09:00:00
