
user_phone_id,user_id,model_id,purchase_date,created_at,updated_at
1,1,1,2020-02-01,2020-02-02,2020-02-05
2,2,2,2019-12-15,2019-12-16,2019-12-18
3,3,3,2019-11-10,2019-11-11,2019-11-12
4,4,4,2020-01-05,2020-01-06,2020-01-09
5,5,5,2020-03-10,2020-03-11,2020-03-14
6,6,6,2020-04-01,2020-04-02,2020-04-08
7,7,7,2020-05-05,2020-05-06,2020-05-09
8,8,8,2020-06-12,2020-06-13,2020-06-15
9,9,9,2020-07-20,2020-07-21,2020-07-23
10,10,10,2020-08-01,2020-08-02,2020-08-04
11,11,11,2020-09-15,2020-09-16,2020-09-18
12,12,12,2020-10-10,2020-10-11,2020-10-13
13,13,13,2020-11-05,2020-11-06,2020-11-08
14,14,14,2020-12-01,2020-12-02,2020-12-04
15,15,15,2021-01-10,2021-01-11,2021-01-13
16,16,16,2021-02-15,2021-02-16,2021-02-18
17,17,17,2021-03-01,2021-03-02,2021-03-04
18,18,18,2021-04-10,2021-04-11,2021-04-13
19,19,19,2021-05-15,2021-05-16,2021-05-18
20,20,20,2021-06-01,2021-06-02,2021-06-04
