
Industry ID,Name,Description,Parent Industry,Timestamp
1,Manufacturing,Producing goods by manual labor or machines,NULL,2020-08-12 11:00:00
2,Construction,Building structures,NULL,2020-08-12 11:02:00
3,Transportation,Moving goods and people,NULL,2020-08-12 11:04:00
4,Retail,Selling goods and services to consumers,NULL,2020-08-12 11:06:00
5,Food Service,Preparing and serving food and beverages,NULL,2020-08-12 11:08:00
6,Health Care,Providing medical services,NULL,2020-08-12 11:10:00
7,Hospitality,Providing lodging and entertainment,NULL,2020-08-12 11:12:00
8,Telecommunications,Providing communication services,NULL,2020-08-12 11:14:00
9,Energy,Producing and distributing energy,NULL,2020-08-12 11:16:00
10,Education,Teaching and research,NULL,2020-08-12 11:18:00
11,Textiles,Producing fabrics and clothing,Manufacturing,2020-08-12 11:20:00
12,Metalworking,Producing metal goods,Manufacturing,2020-08-12 11:22:00
13,Real Estate,Buying, selling, and managing properties,NULL,2020-08-12 11:24:00
14,Banking,Providing financial services,NULL,2020-08-12 11:26:00
15,Insurance,Providing risk management services,NULL,2020-08-12 11:28:00
16,Mining,Extracting resources from the earth,NULL,2020-08-12 11:30:00
17,Agriculture,Growing and harvesting crops,NULL,2020-08-12 11:32:00
18,Utilities,Providing electricity, gas, and water,NULL,2020-08-12 11:34:00
19,Chemicals,Producing chemicals and related products,Manufacturing,2020-08-12 11:36:00
20,Media,Producing and distributing content,NULL,2020-08-12 11:38:00
