
Record ID, Member ID, Region ID, Industry ID, Occupation ID, Timestamp
1, 101, 5, 10, 15, 2020-02-01
2, 102, 5, 10, 16, 2020-02-02
3, 103, 5, 11, 17, 2020-02-03
4, 104, 5, 11, 18, 2020-02-04
5, 105, 5, 12, 19, 2020-02-05
6, 106, 6, 10, 15, 2020-02-06
7, 107, 6, 10, 16, 2020-02-07
8, 108, 6, 11, 17, 2020-02-08
9, 109, 6, 11, 18, 2020-02-09
10, 110, 6, 12, 19, 2020-02-10
11, 111, 7, 10, 15, 2020-02-11
12, 112, 7, 10, 16, 2020-02-12
13, 113, 7, 11, 17, 2020-02-13
14, 114, 7, 11, 18, 2020-02-14
15, 115, 7, 12, 19, 2020-02-15
16, 116, 8, 10, 15, 2020-02-16
17, 117, 8, 10, 16, 2020-02-17
18, 118, 8, 11, 17, 2020-02-18
19, 119, 8, 11, 18, 2020-02-19
20, 120, 8, 12, 19, 2020-02-20
