

relationship_id,character1_id,character2_id,relationship_type,created_at,updated_at
1,1,2,family,2021-01-01 12:00:00,2021-01-01 12:00:00
2,2,3,friendship,2021-01-02 12:00:00,2021-01-02 12:00:00
3,3,4,family,2021-01-03 12:00:00,2021-01-03 12:00:00
4,4,5,romantic,2021-01-04 12:00:00,2021-01-04 12:00:00
5,5,6,friendship,2021-01-05 12:00:00,2021-01-05 12:00:00
6,6,7,family,2021-01-06 12:00:00,2021-01-06 12:00:00
7,7,8,friendship,2021-01-07 12:00:00,2021-01-07 12:00:00
8,8,9,family,2021-01-08 12:00:00,2021-01-08 12:00:00
9,9,10,friendship,2021-01-09 12:00:00,2021-01-09 12:00:00
10,10,11,romantic,2021-01-10 12:00:00,2021-01-10 12:00:00
11,11,12,friendship,2021-01-11 12:00:00,2021-01-11 12:00:00
12,12,13,family,2021-01-12 12:00:00,2021-01-12 12:00:00
13,13,14,friendship,2021-01-13 12:00:00,2021-01-13 12:00:00
14,14,15,romantic,2021-01-14 12:00:00,2021-01-14 12:00:00
15,15,16,family,2021-01-15 12:00:00,2021-01-15 12:00:00
16,16,17,friendship,2021-01-16 12:00:00,2021-01-16 12:00:00
17,17,18,family,2021-01-17 12:00:00,2021-01-17 12:00:00
18,18,19,friendship,2021-01-18 12:00:00,2021-01-18 12:00:00
19,19,20,romantic,2021-01-19 12:00:00,2021-01-19 12:00:00
20,20,1,family,2021-01-20 12:00:00,2021-01-20 12:00:00
